index,ground_truth,prediction,correct,edit_distance,gt_length,pred_length
4121,TSUNAMI,TSUNAMI,True,0,7,7
4122,UNNAMEABLE,UNNAMEABLE,True,0,10,10
4123,SALESPERSON,SALESPERSON,True,0,11,11
4124,GYPSUM,GYPSUM,True,0,6,6
4125,LIVABILITY,LIVABILITY,True,0,10,10
4126,ABOMINABLY,ABOMIMNATC,False,4,10,10
4127,PEGGY,PEGGY,True,0,5,5
4128,FADDIST,FADDIST,True,0,7,7
4129,JEFFRY,JOFFRY,False,1,6,6
4130,HALLMARKING,HALLWARKING,False,1,11,11
4131,FRIZZLIER,FRIZZLIER,True,0,9,9
4132,DEHUMIDIFIER,DEHUMIDIFIER,True,0,12,12
4133,PARAGRAPHS,PARAGRAPHS,True,0,10,10
4134,BENUMBS,BENUMBS,True,0,7,7
4135,SPUTTERING,SPUTTERING,True,0,10,10
4136,TRUMAN,TRUMAN,True,0,6,6
4137,MARRING,MARING,False,1,7,6
4138,SEARS,SEARS,True,0,5,5
4139,LEMMINGS,LEMMINGS,True,0,8,8
4140,DREADED,DREADED,True,0,7,7
4141,PLOSIVES,PLOSIVES,True,0,8,8
4142,TOURISTS,TOURISTS,True,0,8,8
4143,ABSOLUTENESS,ABSOLUTENESS,True,0,12,12
4144,MILT,MILT,True,0,4,4
4145,CARIBBEAN,CARIBBEAN,True,0,9,9
4146,DAUGHTER,DAUGHTER,True,0,8,8
4147,WHOLES,WHOLES,True,0,6,6
4148,AIDING,AIDING,True,0,6,6
4149,CUSHIER,CUSHIER,True,0,7,7
4150,CHIPPER,CYPPER,False,2,7,6
4151,CAVERS,CAVERS,True,0,6,6
4152,DISSEMBLANCE,DISSEMBLANCE,True,0,12,12
4153,CORNISH,CORNISH,True,0,7,7
4154,FELLOWS,FELLOWS,True,0,7,7
4155,DIVORCES,DIVORCES,True,0,8,8
4156,MORES,MORES,True,0,5,5
4157,HENNA,HENNA,True,0,5,5
4158,HEFTED,HEFTED,True,0,6,6
4159,IDOLIZE,DOLIZE,False,1,7,6
4160,DISCUSSION,DISCUSSION,True,0,10,10
4161,MOLDS,MOLDS,True,0,5,5
4162,RECTALLY,RECTALLY,True,0,8,8
4163,DISSEVER,DISSEVER,True,0,8,8
4164,HUGELY,HUGELY,True,0,6,6
4165,NIPS,NIPS,True,0,4,4
4166,BOUNTIES,BOUNTIES,True,0,8,8
4167,BOOMER,BAMER,False,2,6,5
4168,AUGER,AUGER,True,0,5,5
4169,BRUNETTE,BRUNETTE,True,0,8,8
4170,USED,USED,True,0,4,4
4171,TIPPEXES,TIPPEXES,True,0,8,8
4172,CELIBATES,CELIBATES,True,0,9,9
4173,BRISKING,BRISKING,True,0,8,8
4174,HOBGOBLINS,HOBGOBLINS,True,0,10,10
4175,RIPPER,RIPPER,True,0,6,6
4176,SOURED,SOURED,True,0,6,6
4177,SOFTBOUND,RERD,False,8,9,4
4178,MORTARS,MORTARS,True,0,7,7
4179,STATELESSNESS,PTATELESSMERS,False,3,13,13
4180,COPULATION,COPULATION,True,0,10,10
4181,MOUTHWATERING,MOUTHWATERING,True,0,13,13
4182,WEREWOLVES,WEREWOLVES,True,0,10,10
4183,CLUMPING,CLUMPING,True,0,8,8
4184,WONDER,WONDER,True,0,6,6
4185,SAINT,SAINT,True,0,5,5
4186,SHIPPED,SHIPPED,True,0,7,7
4187,APPRENTICESHIP,APPRENTCESHIP,False,1,14,13
4188,TACKIER,TACKIER,True,0,7,7
4189,CHANT,CHANT,True,0,5,5
4190,NONDISCRIMINATORY,NONDISCRIMINATORY,True,0,17,17
4191,DELIGHTFULLY,DELIGHTFULLY,True,0,12,12
4192,CRITICIZING,CRITICIZING,True,0,11,11
4193,CRABWISE,CRABWISE,True,0,8,8
4194,INFIRMITIES,INFIRMITIES,True,0,11,11
4195,FREETHINKERS,FREETHINKERS,True,0,12,12
4196,MOVED,MOVED,True,0,5,5
4197,UNHOLINESS,UNHOLINESS,True,0,10,10
4198,HULLS,HULLS,True,0,5,5
4199,KABUL,KABUL,True,0,5,5
4200,NONINFLECTED,NONNFLECTED,False,1,12,11
4201,RUSK,RUSK,True,0,4,4
4202,DREAMIEST,DREAMIEST,True,0,9,9
4203,JETTISONED,JETTISONED,True,0,10,10
4204,JAKARTA,JAKARTA,True,0,7,7
4205,FLOCKED,FLOCKED,True,0,7,7
4206,OUTPLACE,OUTPLACE,True,0,8,8
4207,AILMENTS,AILMENTS,True,0,8,8
4208,LOYALLY,LOYALLY,True,0,7,7
4209,UNDECEIVED,UNDECEIVED,True,0,10,10
4210,LITTERATEUR,LTTERATEUR,False,1,11,10
4211,INFILL,INFILL,True,0,6,6
4212,ARIADNE,ARIADNE,True,0,7,7
4213,CORSAIR,CORSAIR,True,0,7,7
4214,ANSELMO,ANSELMO,True,0,7,7
4215,ENZYME,ENZYME,True,0,6,6
4216,SHAWNA,SHAWNA,True,0,6,6
4217,DOUBLOONS,DOUBLOONS,True,0,9,9
4218,NOMINAL,NOMINAL,True,0,7,7
4219,PUERTA,PUERTA,True,0,6,6
4220,SUPERCILIOUS,SUPERCILIOUS,True,0,12,12
4221,CAVILINGS,CAVILINGS,True,0,9,9
4222,FUSSIEST,FUSSIEST,True,0,8,8
4223,LUFTWAFFE,LUFTWAFFE,True,0,9,9
4224,NICKNAMED,NICKNAMED,True,0,9,9
4225,PERSPIRATION,PERSPIRATION,True,0,12,12
4226,EQUIPOISE,EQUIPOISE,True,0,9,9
4227,PRICKERS,PRICKERS,True,0,8,8
4228,CARRIERS,CARRIERS,True,0,8,8
4229,MIMEOGRAPHS,MNEOGRAPHS,False,2,11,10
4230,ENCOUNTERED,ENCOUNTERED,True,0,11,11
4231,SHALT,SHALT,True,0,5,5
4232,IRRELEVANCY,IRRELEVANCY,True,0,11,11
4233,MORNINGS,MORNINGS,True,0,8,8
4234,LUVS,LUVS,True,0,4,4
4235,LASTLY,LASTLY,True,0,6,6
4236,CONTESTANT,CONTESTANT,True,0,10,10
4237,PRONOUNCE,PRONOUNCE,True,0,9,9
4238,PERCENTILES,CRECONTILD,False,6,11,10
4239,MAYOR,MAYOR,True,0,5,5
4240,REFLECTED,REFLECTED,True,0,9,9
4241,BULLFINCHES,BITAHES,False,6,11,7
4242,MILDEWS,MILDEWS,True,0,7,7
4243,REPULSED,REPULSED,True,0,8,8
4244,ERADICATE,ERODICATE,False,1,9,9
4245,PANTSUITS,PAUTSONTS,False,3,9,9
4246,LAPDOG,LAPDOG,True,0,6,6
4247,SAPPIEST,SAPPIEST,True,0,8,8
4248,TIDEMARKS,TIDEMARKS,True,0,9,9
4249,COCHLEA,COCHLEA,True,0,7,7
4250,CHICKADEES,CHICKADEES,True,0,10,10
4251,BRANDISHED,BRANDISHED,True,0,10,10
4252,TACTILITY,TACTILITY,True,0,9,9
4253,RUNLET,RUNLET,True,0,6,6
4254,CAMOUFLAGER,CAMOUFLAGER,True,0,11,11
4255,OWNERS,OWNERS,True,0,6,6
4256,PROFOUND,PROFOUND,True,0,8,8
4257,GRASSLANDS,GRASSLANDS,True,0,10,10
4258,OVERPROTECTIVE,OVERPROTECTIVE,True,0,14,14
4259,CONJURING,CONJURING,True,0,9,9
4260,REMAKE,REMAKE,True,0,6,6
4261,NONALLERGIC,NONALLERGIC,True,0,11,11
4262,BRACER,BRACER,True,0,6,6
4263,ARCHBISHOPS,AECHBISHOPS,False,1,11,11
4264,MENTIONED,MENTIONED,True,0,9,9
4265,DISCREDIT,DISCREDIT,True,0,9,9
4266,REMASTER,REMASTER,True,0,8,8
4267,HYPERGLYCEMIA,HYPERGLYCEMIA,True,0,13,13
4268,RIVETED,RIVETED,True,0,7,7
4269,PREPAY,SEARND,False,6,6,6
4270,WALKOVER,WALKOVER,True,0,8,8
4271,JACOBSON,JACOBSON,True,0,8,8
4272,DISMANTLEMENT,DISMANTLEMENT,True,0,13,13
4273,DOODLEBUGS,DOODLEBUGS,True,0,10,10
4274,AGONIZES,AGONIZES,True,0,8,8
4275,NUCLEATES,NUCLEATES,True,0,9,9
4276,SOMETIME,SOMETIME,True,0,8,8
4277,DRUBS,DRUBS,True,0,5,5
4278,TOMBOY,TOMBOY,True,0,6,6
4279,EVOCATIVE,EVOCATIVE,True,0,9,9
4280,RUBIN,RUBIN,True,0,5,5
4281,WARHOL,WARKOL,False,1,6,6
4282,ROOTED,ROOTED,True,0,6,6
4283,MIDTERM,MIDTERM,True,0,7,7
4284,FLIGHTIER,FLIGHTIER,True,0,9,9
4285,ABROGATE,ABROGATE,True,0,8,8
4286,BEAMS,BEARMS,False,1,5,6
4287,ANCHOVIES,ANCHOVIES,True,0,9,9
4288,MIDDLES,MIDDLES,True,0,7,7
4289,DISMAL,DISMAL,True,0,6,6
4290,BATTENING,BATTENING,True,0,9,9
4291,KELSEY,KELSEY,True,0,6,6
4292,LOCKABLE,LOCKABLE,True,0,8,8
4293,PEAHEN,PEAHEN,True,0,6,6
4294,CORKED,CORKED,True,0,6,6
4295,OMISSION,OMISSIOR,False,1,8,8
4296,PANTHEON,PANTHEON,True,0,8,8
4297,DISQUIETED,DISQUIETED,True,0,10,10
4298,KHAKIS,KHAKLS,False,1,6,6
4299,ZYMURGY,ZYMURGY,True,0,7,7
4300,ETHER,ETHER,True,0,5,5
4301,COTTONY,COITONY,False,1,7,7
4302,DESEGREGATES,DESEGREGATES,True,0,12,12
4303,DEWDROP,DEWDROP,True,0,7,7
4304,DENOUNCING,DENOUNCING,True,0,10,10
4305,UNGLUED,UNGLUED,True,0,7,7
4306,PREACHES,PREACHES,True,0,8,8
4307,SNARKS,SNARKS,True,0,6,6
4308,PRIZEWINNERS,PRIZEWINNERS,True,0,12,12
4309,RUDDER,RUDDER,True,0,6,6
4310,PERICARDIUM,PERTEARDOUM,False,3,11,11
4311,TIGHTENING,TIGHTENING,True,0,10,10
4312,CHEWED,CHEWED,True,0,6,6
4313,CRIERS,CRIERS,True,0,6,6
4314,SIGISMUND,SIGISPUND,False,1,9,9
4315,APPENDED,APPENDED,True,0,8,8
4316,UNHARNESSES,UNHARNESSES,True,0,11,11
4317,DOLOROUSLY,DOLOROUSLY,True,0,10,10
4318,DEMURE,DEMURE,True,0,6,6
4319,GULPS,GULPS,True,0,5,5
4320,GALAXY,GALAXY,True,0,6,6
4321,HEELS,HEELS,True,0,5,5
4322,ENCORED,RECNNED,False,4,7,7
4323,BRUNETTE,BRUNETTE,True,0,8,8
4324,CUSHIONED,CUSHIONED,True,0,9,9
4325,FOLDERS,FOLDERS,True,0,7,7
4326,PERFORMS,PERFORMS,True,0,8,8
4327,FIREWOOD,FIREWOOD,True,0,8,8
4328,MISKITO,MISKITO,True,0,7,7
4329,DEPOSITIONS,DEPOSITIONS,True,0,11,11
4330,EXTEMPORANEOUS,AEOMPOROANIESS,False,8,14,14
4331,PRIMACY,PRIMACY,True,0,7,7
4332,MAINSTAYS,MAINSTAYS,True,0,9,9
4333,STYLING,STYLING,True,0,7,7
4334,ARSING,ARSING,True,0,6,6
4335,SUPERINTENDED,SUPERINTENDED,True,0,13,13
4336,MEGAWATT,MEGAWATT,True,0,8,8
4337,GESTURES,GESTURES,True,0,8,8
4338,HOLDERS,HOLDERS,True,0,7,7
4339,OSSIFIED,OSSIFIED,True,0,8,8
4340,ANGUILLA,ANGUILLA,True,0,8,8
4341,WHISTLED,WHISTLED,True,0,8,8
4342,BASUTOLAND,BASUTOLAND,True,0,10,10
4343,DIXON,DIXON,True,0,5,5
4344,PASSERS,PASSERS,True,0,7,7
4345,GREENROOMS,GREENROOMS,True,0,10,10
4346,POMADING,POMADING,True,0,8,8
4347,LOCKSMITH,LOCKSMITH,True,0,9,9
4348,ASSERTING,ASSERTING,True,0,9,9
4349,PORCINE,PORCINE,True,0,7,7
4350,UNREFORMED,UNREFORMED,True,0,10,10
4351,VICTORS,VICTORS,True,0,7,7
4352,DISINTEGRATION,DISINTEGRATION,True,0,14,14
4353,NOBBLING,NOBBLING,True,0,8,8
4354,UNREADABLE,UNREADABLE,True,0,10,10
4355,SAMBUCA,SAMBUCA,True,0,7,7
4356,EMBARGO,EMBARGO,True,0,7,7
4357,SUPERCITY,SUPERCITY,True,0,9,9
4358,OBSCURER,OBSCURER,True,0,8,8
4359,INEFFABLE,INEFFABLE,True,0,9,9
4360,REVVING,REVVING,True,0,7,7
4361,OTHER,OTHER,True,0,5,5
4362,SUBLEASED,SUBLEASED,True,0,9,9
4363,DOUBTERS,DOUBTERS,True,0,8,8
4364,WATERCOLOR,WATERCOLOR,True,0,10,10
4365,TENN,TENN,True,0,4,4
4366,CONGENIALLY,CONGENIALLY,True,0,11,11
4367,LIVERS,LIVERS,True,0,6,6
4368,PHONIER,PHONIER,True,0,7,7
4369,DEMONSTRABILITY,DEMONSTRABILITY,True,0,15,15
4370,LABORERS,LABORERS,True,0,8,8
4371,NONAPPEARANCE,NONAPPEARANCE,True,0,13,13
4372,LEGISLATIVELY,LEGISLATIVELY,True,0,13,13
4373,MAILSHOTS,MAILSHOTS,True,0,9,9
4374,RESOLED,RESOLED,True,0,7,7
4375,SOURCING,SOURCING,True,0,8,8
4376,STREAKERS,STREAKERS,True,0,9,9
4377,PURGERS,PURGERS,True,0,7,7
4378,CROFTER,CROFTER,True,0,7,7
4379,INVESTITURES,INVESTITURES,True,0,12,12
4380,TITTLES,TITTLES,True,0,7,7
4381,MELODIOUSNESS,MELODIOUSNESS,True,0,13,13
4382,ORGASMIC,ORGASMIC,True,0,8,8
4383,ROOMER,ROOMER,True,0,6,6
4384,BOWLER,BOWLER,True,0,6,6
4385,CAPSULIZES,CAPSULIZES,True,0,10,10
4386,UNEQUIPPED,UNEQUIPPED,True,0,10,10
4387,REESTABLISHING,REESTABLISHING,True,0,14,14
4388,PSYCHOTICS,PSYEHOTICS,False,1,10,10
4389,PROMISCUOUS,PROMISCUOUS,True,0,11,11
4390,PITCHMEN,PITCHMEN,True,0,8,8
4391,BUSTED,CUSTED,False,1,6,6
4392,DVD,DVD,True,0,3,3
4393,ENLISTS,ENLISTS,True,0,7,7
4394,POOHS,POOHS,True,0,5,5
4395,TORONTO,TORONTO,True,0,7,7
4396,EPIGRAPHY,EPIGRAPHY,True,0,9,9
4397,OVEREXCITED,OVEREXCITED,True,0,11,11
4398,CONDUCTOR,CONDEACTOR,False,2,9,10
4399,AUCTIONEER,AUCTIONEER,True,0,10,10
4400,CLODHOPPER,CLODHOPPER,True,0,10,10
4401,INTERLARD,INTERLARD,True,0,9,9
4402,ALLOTMENTS,FLIPNONS,False,7,10,8
4403,SLAGHEAPS,SLAGHEAPS,True,0,9,9
4404,ATTAINING,ATTAINING,True,0,9,9
4405,FACTORIAL,FACTORIAL,True,0,9,9
4406,CLASSIFYING,CLASSIFYN,False,2,11,9
4407,TUMID,TUMID,True,0,5,5
4408,ERODING,ERODING,True,0,7,7
4409,ADMISSION,ADMISSION,True,0,9,9
4410,BESEECHERS,BESEECHERS,True,0,10,10
4411,AVERRED,AVERRED,True,0,7,7
4412,SECTION,SECTION,True,0,7,7
4413,BAYBERRY,BAYBERRY,True,0,8,8
4414,KILOTON,KILOTON,True,0,7,7
4415,PROPELLANT,PROPELLANT,True,0,10,10
4416,REVELERS,REVELERS,True,0,8,8
4417,LOWING,LOWING,True,0,6,6
4418,SEAS,SEAS,True,0,4,4
4419,LANGUISHES,LANGUISHES,True,0,10,10
4420,LATVIAN,LATVIAN,True,0,7,7
4421,JANSENIST,JANSENIST,True,0,9,9
4422,PICKETER,PICKETER,True,0,8,8
4423,RICHARDS,RICHARDS,True,0,8,8
4424,TRADE,TRADE,True,0,5,5
4425,COMMUNAL,COMMUNAL,True,0,8,8
4426,SURTAXED,SAANELS,False,6,8,7
4427,IMPOSERS,IMPOSERS,True,0,8,8
4428,PILLOW,PILLOW,True,0,6,6
4429,GLARED,GLARED,True,0,6,6
4430,BEND,BEND,True,0,4,4
4431,ONESOLUTION,ONESOLUTION,True,0,11,11
4432,SOON,SOON,True,0,4,4
4433,CONVULSIONS,CONVULSIONS,True,0,11,11
4434,SYLLABIFYING,SYLLABIFYING,True,0,12,12
4435,MYLARS,MYLARS,True,0,6,6
4436,INCULPABLE,INCULPABLE,True,0,10,10
4437,DESCENDS,DESCENDS,True,0,8,8
4438,TELEVISIONS,TELEVISIONS,True,0,11,11
4439,WAVY,WAVY,True,0,4,4
4440,DEGENERES,DEGENERES,True,0,9,9
4441,RAGLANS,RAGLANS,True,0,7,7
4442,BIGGEST,BIGGEST,True,0,7,7
4443,ABSORPTION,ABSORPTION,True,0,10,10
4444,VELLUM,VELLUM,True,0,6,6
4445,APPLET,APPLET,True,0,6,6
4446,BARBARISM,BARBARISM,True,0,9,9
4447,REGEXP,REGEXP,True,0,6,6
4448,DISEMBARKED,DISEMBARKED,True,0,11,11
4449,DAME,DAME,True,0,4,4
4450,INCORPORATE,INCORPORATE,True,0,11,11
4451,BLISTER,BLISTER,True,0,7,7
4452,FIBULA,FIBULA,True,0,6,6
4453,TOOTHPICK,TOOTHPICK,True,0,9,9
4454,WOODLEAF,WOODLEAF,True,0,8,8
4455,TANGOING,TANGOING,True,0,8,8
4456,PINCH,PINCH,True,0,5,5
4457,CORIAN,CORIAN,True,0,6,6
4458,ACCOMPANYING,ACCOMPANYING,True,0,12,12
4459,ORIELS,ORIELS,True,0,6,6
4460,DOWNSIZES,DOWNSIZES,True,0,9,9
4461,STERNUM,STERNUM,True,0,7,7
4462,PAEAN,PAEAN,True,0,5,5
4463,SHADOWY,SHADOWY,True,0,7,7
4464,UNDERSHOOT,UNDERSHOOT,True,0,10,10
4465,FIREBRANDS,FIRCELRANDS,False,2,10,11
4466,SNOWMEN,SNOWMEN,True,0,7,7
4467,IMMORALLY,IMMORALLY,True,0,9,9
4468,REREADING,REREADING,True,0,9,9
4469,ENTRANTS,ENTRANTS,True,0,8,8
4470,DELIVERED,DELIVERED,True,0,9,9
4471,FREELANCING,FREELANCING,True,0,11,11
4472,CACHEPOT,CACHEPOT,True,0,8,8
4473,KINGSTOWN,KINGSTOWN,True,0,9,9
4474,WEATHERPROOFED,WEATHERPROOFED,True,0,14,14
4475,GRIEVE,GRIEVE,True,0,6,6
4476,SORRY,SORRY,True,0,5,5
4477,RESPONSIBILITY,REPONSINAILITY,False,3,14,14
4478,FOILING,FOILING,True,0,7,7
4479,MONTOYA,MONTOYA,True,0,7,7
4480,VOICELESSNESS,VOICELESSNESS,True,0,13,13
4481,COASTERS,COASTERS,True,0,8,8
4482,AFTERBIRTH,AFTERBIRTH,True,0,10,10
4483,MORPHEME,MORPHEME,True,0,8,8
4484,SUMMERHOUSE,SUMMERHOUSE,True,0,11,11
4485,COURSER,COURSER,True,0,7,7
4486,PROBATIONAL,PROBATIONAL,True,0,11,11
4487,EXTENSION,EXTENSION,True,0,9,9
4488,PAGANINI,PAGANINI,True,0,8,8
4489,CHITCHATS,CHITCHATS,True,0,9,9
4490,SUSPECTING,SUSPECTING,True,0,10,10
4491,DAWNING,DAWNING,True,0,7,7
4492,VENGEFUL,VENGEFULL,False,1,8,9
4493,TOUGHENED,FOUGHENED,False,1,9,9
4494,SNOOTS,SNOOTS,True,0,6,6
4495,CANDLER,CANDLER,True,0,7,7
4496,CLARITY,CLARITY,True,0,7,7
4497,BOATS,BOATS,True,0,5,5
4498,IMPOVERISHED,IMPOVERISHED,True,0,12,12
4499,WONDROUS,NONDROUS,False,1,8,8
4500,SOLEMNIFIES,SOLEMNIFIES,True,0,11,11
4501,BELLHOP,BELLHOP,True,0,7,7
4502,DERICK,DERICK,True,0,6,6
4503,INTERLEAVES,INTERLEAVES,True,0,11,11
4504,ABALONES,ABALONES,True,0,8,8
4505,FRIZZLY,GRIZLLY,False,2,7,7
4506,AVIARY,AVIARY,True,0,6,6
4507,CHILBLAINS,CHILBLAINS,True,0,10,10
4508,YEAHS,YEAHS,True,0,5,5
4509,PREEMPTED,PREEMPTED,True,0,9,9
4510,UPTAKES,UPTAKES,True,0,7,7
4511,CELTICS,SAMLRES,False,6,7,7
4512,SHIPWRECKED,SHIPWRECKED,True,0,11,11
4513,CORNEAL,CORNEAL,True,0,7,7
4514,SOCIALIZED,SOCIALIZED,True,0,10,10
4515,JESUS,JESUS,True,0,5,5
4516,SHOPLIFTING,SHOPLIFTING,True,0,11,11
4517,FLUCTUATE,FLUCTUATE,True,0,9,9
4518,RIBBED,RIBBED,True,0,6,6
4519,INTEGRATE,INTEGRATE,True,0,9,9
4520,BETTERS,BETTERS,True,0,7,7
4521,ZEPPELINS,ZEPPELINS,True,0,9,9
4522,GAUTAMA,GAUTAMA,True,0,7,7
4523,SEINES,SEINES,True,0,6,6
4524,CROCKETT,CROCKETT,True,0,8,8
4525,TAPIOCA,TAPIOCA,True,0,7,7
4526,PLAICE,PLAICE,True,0,6,6
4527,TERMINATES,TERMINATES,True,0,10,10
4528,COCKING,COCKING,True,0,7,7
4529,SHIRKS,SHIRKS,True,0,6,6
4530,KAISAHAN,KAISAKAN,False,1,8,8
4531,CLIPPINGS,CLIPPINGS,True,0,9,9
4532,HENDRIX,HENDRIX,True,0,7,7
4533,BORDEN,BORDEN,True,0,6,6
4534,AURORAS,AURORAS,True,0,7,7
4535,LINDA,LINDA,True,0,5,5
4536,SUPERFUND,SUPERFIUND,False,1,9,10
4537,ANTHER,ANTHER,True,0,6,6
4538,AVA,AVA,True,0,3,3
4539,STUPENDOUS,STUPENDOUS,True,0,10,10
4540,NOTABILITIES,COCOABILITIES,False,3,12,13
4541,MORALIZES,MORALIZES,True,0,9,9
4542,LIGHTENED,LIGHTENED,True,0,9,9
4543,BUGGERY,BUGGERY,True,0,7,7
4544,SCEPTERS,SCEPTERS,True,0,8,8
4545,KNEELING,KNEELING,True,0,8,8
4546,HAZARDOUSLY,HAZARDOUSLY,True,0,11,11
4547,MURRAY,MURRAY,True,0,6,6
4548,HESITATIONS,HESITATIONS,True,0,11,11
4549,UNAESTHETIC,UNAESTHETIC,True,0,11,11
4550,THRESHES,THRESHES,True,0,8,8
4551,FALSIFICATIONS,FALSIFICATIONS,True,0,14,14
4552,LUGHOLE,LUGHOLE,True,0,7,7
4553,FLEET,BLEET,False,1,5,5
4554,MOONLIGHTERS,MOONLIGHTERS,True,0,12,12
4555,FLESHLIER,FLESHLIER,True,0,9,9
4556,SWOOPED,SWOOPED,True,0,7,7
4557,WEATHERPERSONS,ANRMENONS,False,8,14,9
4558,GASLIGHTS,GASLIGHTS,True,0,9,9
4559,DESTINATION,DESTINATION,True,0,11,11
4560,UNINTERESTING,UNRPRUSNS,False,8,13,9
4561,POTHOLES,POTHOLES,True,0,8,8
4562,RETRENCHMENT,RETPENCAMENT,False,2,12,12
4563,HAUBERKS,HAUBERKS,True,0,8,8
4564,TROUPERS,TROUPERS,True,0,8,8
4565,CERUL,CERUL,True,0,5,5
4566,DECOUPAGES,DECOUPAGES,True,0,10,10
4567,FURLOUGHING,FURLOUGHING,True,0,11,11
4568,HISTAMINES,KISTAMINES,False,1,10,10
4569,SLOVAKIA,SLOVAKIA,True,0,8,8
4570,MUCOUS,MUCOUS,True,0,6,6
4571,BERNOULLI,BERNOULLI,True,0,9,9
4572,PRESENTMENT,PRESENTMENT,True,0,11,11
4573,BRACELETS,BRACELETS,True,0,9,9
4574,SPLAT,SPLAT,True,0,5,5
4575,INFIX,INFIX,True,0,5,5
4576,COMPLIANTLY,COMOLIANTLY,False,1,11,11
4577,SCATHING,SEATHING,False,1,8,8
4578,MONASTICAL,MONASTICAL,True,0,10,10
4579,BELABORING,BELABORING,True,0,10,10
4580,INTIMIDATES,INTINCIATES,False,3,11,11
4581,SAUCILY,SAUGLY,False,2,7,6
4582,COXSWAIN,CORSWAIN,False,1,8,8
4583,ROTTER,RAITER,False,2,6,6
4584,DRAY,DRAY,True,0,4,4
4585,TIRING,TIRING,True,0,6,6
4586,YET,YET,True,0,3,3
4587,FICHE,FICHE,True,0,5,5
4588,AHOY,AHOY,True,0,4,4
4589,SHASTA,SHASTA,True,0,6,6
4590,REARING,REARING,True,0,7,7
4591,COMPRISED,COMPRISED,True,0,9,9
4592,STRADIVARI,STRADIVARI,True,0,10,10
4593,HEREUPON,HEREUPON,True,0,8,8
4594,LODGING,LODGING,True,0,7,7
4595,STEALTHINESS,STEALTHINESS,True,0,12,12
4596,EMBRYOLOGIST,EMBRYOLOGIST,True,0,12,12
4597,AUTHENTICATED,AUTHENTICATED,True,0,13,13
4598,PREDESIGNATE,PREDESIGNATE,True,0,12,12
4599,STARS,STARS,True,0,5,5
4600,BLOOD,BLOGY,False,2,5,5
4601,LIQUIDIZER,LIQUIDIZER,True,0,10,10
4602,WHINIEST,WHINIEST,True,0,8,8
4603,ALOUD,ALOUD,True,0,5,5
4604,AMOUR,AMOUR,True,0,5,5
4605,CARDAMON,CARDAMON,True,0,8,8
4606,APHORISMS,APHORISMS,True,0,9,9
4607,HOUSEHUSBAND,HOUSHUSTEAND,False,3,12,12
4608,BELLINI,BELLING,False,1,7,7
4609,EMPHASIZING,EMPHASIZING,True,0,11,11
4610,ARBITRAGING,ARBITRAGING,True,0,11,11
4611,STRICT,STRICT,True,0,6,6
4612,CREMATORY,CREMATORY,True,0,9,9
4613,FINGERLINGS,FINGERLINGS,True,0,11,11
4614,REPLICA,REPLICA,True,0,7,7
4615,MISQUOTATIONS,MISQUOTATIONS,True,0,13,13
4616,CHLORDANE,CHLORDANE,True,0,9,9
4617,AFFORDABILITY,AFFORDABILITY,True,0,13,13
4618,URGES,URGES,True,0,5,5
4619,BOUZOUKI,BOUZOUKI,True,0,8,8
4620,SLUMPING,SLUMPING,True,0,8,8
4621,STEPFATHER,STEPFATHER,True,0,10,10
4622,DECAYED,DECAYED,True,0,7,7
4623,EXEMPTIONS,EXEMPTIONS,True,0,10,10
4624,LOIRE,LOIRE,True,0,5,5
4625,SALACIOUSLY,SALACIOUSLY,True,0,11,11
4626,SADDLER,SADDLER,True,0,7,7
4627,SAHARAN,SAHARAN,True,0,7,7
4628,ETHICALLY,ETHICALLY,True,0,9,9
4629,DUTY,DUTY,True,0,4,4
4630,MOORISH,MOORISH,True,0,7,7
4631,CARIB,CARIB,True,0,5,5
4632,GROUNDINGS,GROUNDINGS,True,0,10,10
4633,COMPUTATION,COMPUTATION,True,0,11,11
4634,POOHED,POOHED,True,0,6,6
4635,LEGIBLE,LEGIBLE,True,0,7,7
4636,LAMBING,LAMBING,True,0,7,7
4637,MEMBER,MEMBER,True,0,6,6
4638,APOCALYPTIC,APOCALYPTIC,True,0,11,11
4639,MOCKING,MOCKING,True,0,7,7
4640,CHIPMUNK,CHIPMUNK,True,0,8,8
4641,MONOTONIC,MONOTANIC,False,1,9,9
4642,RETEACH,RETENA,False,3,7,6
4643,FLOUNDERING,FLOUNDERING,True,0,11,11
4644,OPEC,OPEC,True,0,4,4
4645,PULITZER,PULITZER,True,0,8,8
4646,MODS,MODS,True,0,4,4
4647,BERNSTEIN,BERNSTEIN,True,0,9,9
4648,DEMODULATES,DEMODULATES,True,0,11,11
4649,BETOKENS,BETOKENS,True,0,8,8
4650,IROQUOIAN,IROQUOIAN,True,0,9,9
4651,ADMINISTERS,ADMINISTERS,True,0,11,11
4652,BISHKEK,BISHKEK,True,0,7,7
4653,UNBURDENS,UNBURDENS,True,0,9,9
4654,COMPENDIOUS,COMPENDIOUS,True,0,11,11
4655,CRITIQUING,CRITIQUING,True,0,10,10
4656,QUESTED,QUESTED,True,0,7,7
4657,SUPERVENTION,SUPERVENTION,True,0,12,12
4658,PIECES,PIECES,True,0,6,6
4659,JEANIE,JEANIE,True,0,6,6
4660,MISLABEL,MISLABEL,True,0,8,8
4661,GOODISH,GOODISH,True,0,7,7
4662,GRAVELY,GRAVELY,True,0,7,7
4663,LABEL,LABEL,True,0,5,5
